Year, Art der Initiative, Value
2010,	Solidarische Landwirtschaften,	1
2011,	Solidarische Landwirtschaften,	1
2012,	Solidarische Landwirtschaften,	1
2013,	Solidarische Landwirtschaften,	1
2014,	Solidarische Landwirtschaften,	1
2015,	Solidarische Landwirtschaften,	1
2016,	Solidarische Landwirtschaften,	1
2017,	Solidarische Landwirtschaften,	2
2018,	Solidarische Landwirtschaften,	2
2019,	Solidarische Landwirtschaften,	3
2020,	Solidarische Landwirtschaften,	3
2021,	Solidarische Landwirtschaften,	4
2022,	Solidarische Landwirtschaften,	5
2023,	Solidarische Landwirtschaften,	
2010,	Stadtgärten und Gemeinschaftsgärten,	1
2011,	Stadtgärten und Gemeinschaftsgärten,	1
2012,	Stadtgärten und Gemeinschaftsgärten,	1
2013,	Stadtgärten und Gemeinschaftsgärten,	2
2014,	Stadtgärten und Gemeinschaftsgärten,	2
2015,	Stadtgärten und Gemeinschaftsgärten,	2
2016,	Stadtgärten und Gemeinschaftsgärten,	3
2017,	Stadtgärten und Gemeinschaftsgärten,	3
2018,	Stadtgärten und Gemeinschaftsgärten,	3
2019,	Stadtgärten und Gemeinschaftsgärten,	4
2020,	Stadtgärten und Gemeinschaftsgärten,	5
2021,	Stadtgärten und Gemeinschaftsgärten,	6
2022,	Stadtgärten und Gemeinschaftsgärten,	6
2023, Stadtgärten und Gemeinschaftsgärten,
2010,	Inititativen im Bereich nachhaltige Ernährung, 	1
2011,	Inititativen im Bereich nachhaltige Ernährung,	1
2012,	Inititativen im Bereich nachhaltige Ernährung, 	1
2013,	Inititativen im Bereich nachhaltige Ernährung, 	1
2014,	Inititativen im Bereich nachhaltige Ernährung, 	1
2015,	Inititativen im Bereich nachhaltige Ernährung, 	2
2016,	Inititativen im Bereich nachhaltige Ernährung, 	3
2017,	Inititativen im Bereich nachhaltige Ernährung, 	3
2018,	Inititativen im Bereich nachhaltige Ernährung, 	5
2019,	Inititativen im Bereich nachhaltige Ernährung, 	5
2020,	Inititativen im Bereich nachhaltige Ernährung, 	7
2021,	Inititativen im Bereich nachhaltige Ernährung, 	7
2022,	Inititativen im Bereich nachhaltige Ernährung, 	7
2023,	Inititativen im Bereich nachhaltige Ernährung, 	

